InputAddresses,OutputAddresses,TransactionHash,ExpectedValue
base,1CK6KHY6MHgYvmRQ4PAafKYDrg1ejbH1cE,292989450,1369139491
15N67FNAcJRC5AXHq5fY8on4tYm8qiiMkj,3CRR3Tqn42nzdxq4LLHfETG2J8D83QiaFy,292987304,33000000.0
15N67FNAcJRC5AXHq5fY8on4tYm8qiiMkj,1AEJaTcVMpUESFUbbN1mTRf5qXBVevuuhe,292987304,167714570.0
1AEJaTcVMpUESFUbbN1mTRf5qXBVevuuhe,1BmnSCYhnQFJzfiNXScm4fubgHfj1wyMeQ,292988644,56478476.1673
1AEJaTcVMpUESFUbbN1mTRf5qXBVevuuhe,153X1EMRrjpy3S9D71XPpwChsQQgCZMJgP,292988644,111029355.33
15N67FNAcJRC5AXHq5fY8on4tYm8qiiMkj,1BmnSCYhnQFJzfiNXScm4fubgHfj1wyMeQ,292988644,66128293.8327
15N67FNAcJRC5AXHq5fY8on4tYm8qiiMkj,153X1EMRrjpy3S9D71XPpwChsQQgCZMJgP,292988644,129999644.67
144quYuBXyoSXETRUna3hAQDPVgyeSSMLL,17UW1LEbJXLagow7GE1Ukuuo6YgYLhjGM7,292987157,63566034.0
144quYuBXyoSXETRUna3hAQDPVgyeSSMLL,1CUor9Dc1EqqmomBp91LGtHKMLUAQLe8qv,292987157,13233680.0
13JVDoHVmoC5T6QkVwaKtbE3dbELARuqdY,1FUpxZaGSAqyYb3XjTyhrAf7NBU8revhb5,292987160,96506381.0
13JVDoHVmoC5T6QkVwaKtbE3dbELARuqdY,1B5bwzhttXHuj1NBHbtLcPJq5sQirb6fzQ,292987160,17708628273.0
1DKdne1uLT8BWescpQ89NSmNJjA9EMP8Nm,1F6WoHgicmY2ras1TyoCL5bLAJcDCnrXXt,292987159,13156077.0
1DKdne1uLT8BWescpQ89NSmNJjA9EMP8Nm,1DwN2tubYxuAKR5oK5aAkWwvN5LybitAQd,292987159,1709527.0
1BEqAYTJWywA6ycapQrgzBNtVDpBH4nydK,12Wh8HrWMRDFcVkkvoExZmo9phCQqB3Vvh,292988735,5956000.0
1BEqAYTJWywA6ycapQrgzBNtVDpBH4nydK,1KHcLsjdAcczzsEgbRFjUvbwcKPBVaezes,292988735,53778960.0
17tCTQtjwdJBbXxzJbGLaZnHPymHXay6fh,18b7E4jKa4xg31SgJbuK9pyU97wJP4A6cQ,292987360,22000000.0
17tCTQtjwdJBbXxzJbGLaZnHPymHXay6fh,12C6SZMfHM1AzUBHSGEhaTnjpahxB6XXSv,292987360,50889723947.0
3BbDtxBSjgfTRxaBUgR2JACWRukLKtZdiQ,3BbDtxBSjgfTRxaBUgR2JACWRukLKtZdiQ,292989044,168844197.0
3BbDtxBSjgfTRxaBUgR2JACWRukLKtZdiQ,34oGFAfJ2GkxCdFurJDWduDLza4JvZDAGP,292989044,205460.0
1317YUripH52aYjULquv2m6GiNij5iUZH1,1E5nmBczpsW9TsvWpSUPTAG5Ark8EJJo1P,292988633,96972.0
1317YUripH52aYjULquv2m6GiNij5iUZH1,1CAPiCCNeyVx7RKNFifpVVd78t7Kif8HZ8,292988633,804163581.0
1DABAePLSFAkqzETMy32bLz1oir8NukRHJ,17HJKhQR9rpEV4CWJoy8hnC8174KUc3Bfu,292986816,94450.0
1DABAePLSFAkqzETMy32bLz1oir8NukRHJ,16PgMBYU7SLnrT53rTjPcTcdacK8W49paJ,292986816,569808854.0
1KxwVpkZVrmykQfjQfrR6s7HXKEcdkz1if,37Gp5sFudDgYMckgdTobJgdJqbwCHY8Fuo,292988105,3429145.34195
1KxwVpkZVrmykQfjQfrR6s7HXKEcdkz1if,1Dxnwm33VXQgcrsA47RA9ytjdD8JGFrbph,292988105,2193504.52731
1PQ7Bc4CPg7gbESqZQiH9Tpj9GuKHFmckg,37Gp5sFudDgYMckgdTobJgdJqbwCHY8Fuo,292988105,4130854.65805
1PQ7Bc4CPg7gbESqZQiH9Tpj9GuKHFmckg,1Dxnwm33VXQgcrsA47RA9ytjdD8JGFrbph,292988105,2642363.47269
3NGgEUJmK1EvKeYzwFBS2475ugd11CsYCa,3Ka9hp68eGhyVpuGNTgxvytQk3YG4uDzSB,292987394,205669.068969
3NGgEUJmK1EvKeYzwFBS2475ugd11CsYCa,3A9Jo3GVt9sjfMk3RdyUDkD1XurQVcVoop,292987394,9449377.86307
3AvHLvS2AxfCNAo1RKQqW6PLPRnZhjPCD6,3Ka9hp68eGhyVpuGNTgxvytQk3YG4uDzSB,292987394,3712094.93103
3AvHLvS2AxfCNAo1RKQqW6PLPRnZhjPCD6,3A9Jo3GVt9sjfMk3RdyUDkD1XurQVcVoop,292987394,170550622.137
1KYiKJEfdJtap9QX2v9BXJMpz2SfU4pgZw,1KYiKJEfdJtap9QX2v9BXJMpz2SfU4pgZw,292988796,27425638.0
1KYiKJEfdJtap9QX2v9BXJMpz2SfU4pgZw,1J1dCYzS5EerUuJCJ6iJYVPytCMVLXrgM9,292988796,546.0
base,3JoFtkHe29YyKfvGBKd7k322krmVLDycZF,292986832,1900000000
base,1MWVdZHUzpUsMP7c4GaFvdeFxhZDEwYFzL,292989151,800000000
base,146yTJpMgott2fBTPsk6EqQFugMtwHKp1m,292987579,7000000
1A8cSjoUQW3dXbYNb6Qs3vSNrNzS77pfkz,1DDn63RvNFjXe8vk3tvqVcCDygBbtm9eTH,292987486,1230379.0
1A8cSjoUQW3dXbYNb6Qs3vSNrNzS77pfkz,34RGDPhfSqa9fEwYUCHr1rULfjDYUFPkYG,292987486,52975.0
17y7r49SYTMcjB35FxMiYopHcySqcEPFDp,1AjtU7dq1TYh8UmKPN88LuRgjnwoQNMt1r,292988225,353370.0
17y7r49SYTMcjB35FxMiYopHcySqcEPFDp,15WJ9vViADqYEJ5rekfTpRbT6WADjmYmrZ,292988225,6475394.0
1CosRvdDkXeUucpL88wqWWToPeFtB7k16p,16pUaoHUj5PGtgdGwUAcXdxD27djCbTETF,292988609,620528.0
1CosRvdDkXeUucpL88wqWWToPeFtB7k16p,1DXfRPaAsu1drmPs7NjeBj6u4zuEJabSdN,292988609,6467740.0
1H6ZZpRmMnrw8ytepV3BYwMjYYnEkWDqVP,1H6ZZpRmMnrw8ytepV3BYwMjYYnEkWDqVP,292986627,13543100000.0
1H6ZZpRmMnrw8ytepV3BYwMjYYnEkWDqVP,19c3AicDXAjHG15caQUUqKT87PwvF5NPBY,292986627,2400000.0
1JM98hUeVMquiRhGkaWLdVYnBwZtd2h6uB,1Q9fKNBfFksyPrbzQn1ByET9yCsRbPJ4FJ,292988034,4586541.0
1JM98hUeVMquiRhGkaWLdVYnBwZtd2h6uB,1NdWTQYRtKWRCryZAYkW5gD4g4G4vhc1Du,292988034,1864213.0
1FZgaTxwz4z8T7h8c34zPB6y42sSKas6eX,12MhGCbZuwS8NXbMBuwScfyDPeRo3XQSu2,292987730,2503626.0
1FZgaTxwz4z8T7h8c34zPB6y42sSKas6eX,1C8rkfNMWSu8HihUBmEh1vkEPcUXybsEDb,292987730,2138978.0
1PJuFobmCfKWAht6sHdRPiP2vQ4jdfAhmJ,1Nk5cDRPNt37x1ytjoALb6b5oW7a2yCQ15,292989284,6653722.0
1PJuFobmCfKWAht6sHdRPiP2vQ4jdfAhmJ,1A3AdM1bFMKJgkAhHtW33s56ivayFebCF9,292989284,528941.0
1HRt4wHkew69MKdVKZ9TR9Y45P9r96zHd5,1KaZ6MgMSCRERHpJowpXSXwvYhJ82wwcZJ,292987878,283270.184145
1HRt4wHkew69MKdVKZ9TR9Y45P9r96zHd5,1F71FPPWoRVdmiy755JRhCZzocuVduXJXP,292987878,149599.362576
1MSCgKEwCgh2fc5nRnK7Yi6r6yf6tU4FRY,1KaZ6MgMSCRERHpJowpXSXwvYhJ82wwcZJ,292987878,53341.8158553
1MSCgKEwCgh2fc5nRnK7Yi6r6yf6tU4FRY,1F71FPPWoRVdmiy755JRhCZzocuVduXJXP,292987878,28170.6374241
34oGFAfJ2GkxCdFurJDWduDLza4JvZDAGP,1B7piNSn9DrVCDw5ocpg2ug6eTx91Vir58,292989059,5460.0
1Fi6Z837XkrbzEBjv6JJgdWzdSTd94M4Yz,12Lm8LBNy1C1b5mSqK4oj3GZfpzrNFBWSv,292987413,793577700.0
1Fi6Z837XkrbzEBjv6JJgdWzdSTd94M4Yz,1GvkG3D7KKdFw9hqtrboa8wqNtEj4cyuBb,292987413,7220000.0
19Jx4WzH2FeLj2YAhk6vT4WRw6GxpRVodt,3BHGgLvJBYQqHE9xW3ir44uJCnNU2rKtJj,292986864,70000000.0
19Jx4WzH2FeLj2YAhk6vT4WRw6GxpRVodt,17hC7Q72d7JFU8XESfr41BaLUbjYLjTjCq,292986864,271309277.0
