componentSize,frequency
2,10809
3,4898
4,2123
5,1218
6,680
7,488
8,332
9,243
10,194
11,123
12,84
13,94
14,57
15,51
16,51
17,42
18,16
19,30
20,30
21,21
22,19
23,20
24,8
25,16
26,8
27,11
28,13
29,7
30,8
31,8
32,5
33,8
34,6
35,6
36,6
37,9
38,15
39,5
40,16
41,12
42,13
43,11
44,10
45,7
46,10
47,8
48,5
49,8
50,2
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,2
61,2
62,2
64,1
65,1
66,1
67,2
68,1
69,1
70,1
72,1
74,3
75,2
78,2
79,1
82,1
87,1
89,1
91,2
92,1
93,3
94,1
95,3
96,1
99,1
100,1
101,2
105,1
107,1
112,1
113,1
118,1
120,1
121,1
123,1
125,1
135,1
136,1
139,3
160,1
172,1
190,1
196,1
207,1
218,1
238,1
251,6
342,1
356,1
357,1
360,1
363,1
367,1
370,1
373,1
375,1
376,3
380,1
413,1
429,1
613,1
237342,1
