inDegree,frequency
1,55188
2,25083
3,6304
4,2694
5,1700
6,1276
7,657
8,486
9,429
10,423
11,315
12,384
13,235
14,199
15,152
16,126
17,110
18,96
19,87
20,73
21,48
22,37
23,46
24,38
25,44
26,22
27,14
28,18
29,22
30,19
31,28
32,21
33,10
34,26
35,19
36,18
37,17
38,22
39,21
40,41
41,22
42,34
43,24
44,15
45,18
46,16
47,16
48,7
49,8
50,6
51,8
52,12
53,4
54,2
55,7
56,5
57,4
58,6
59,5
60,3
61,4
62,4
63,1
64,2
65,1
66,2
67,1
68,2
69,3
70,1
71,3
72,2
74,3
75,3
76,2
77,3
78,5
79,3
80,3
81,4
82,4
83,3
84,2
85,3
86,2
87,3
88,3
90,1
91,1
92,1
93,4
94,3
95,1
96,1
98,3
99,1
100,3
101,4
102,1
103,2
104,2
105,3
106,1
108,1
109,2
112,1
113,3
115,1
118,2
120,2
123,1
126,3
131,1
133,1
136,1
137,2
139,1
141,1
143,1
147,1
149,1
158,1
159,2
161,1
167,1
170,1
174,1
177,1
196,1
200,2
203,1
204,1
207,1
208,1
211,1
212,1
217,1
228,1
236,1
240,1
255,1
256,1
267,1
282,1
293,1
313,1
316,1
320,1
362,1
384,1
386,1
388,1
403,1
406,1
408,1
410,1
413,1
435,1
436,1
441,1
485,1
489,1
503,1
523,1
544,1
554,1
560,1
568,1
572,1
580,1
595,1
609,1
1763,1
3917,1
