outDegree,frequency
1,104162
2,26019
3,2479
4,892
5,613
6,371
7,205
8,179
9,167
10,130
11,129
12,111
13,102
14,98
15,84
16,61
17,45
18,27
19,17
20,16
21,21
22,16
23,12
24,16
25,14
26,15
27,11
28,18
29,11
30,13
31,10
32,10
33,9
34,3
35,6
36,4
37,3
38,4
39,2
40,6
41,1
42,2
43,1
44,2
45,6
46,3
48,3
49,2
51,2
52,3
53,1
54,2
55,2
56,2
57,4
58,3
59,1
60,3
61,2
63,4
64,4
67,3
68,5
69,2
70,5
71,1
72,2
74,3
75,3
76,2
78,2
82,1
84,1
87,1
89,1
91,1
92,1
94,1
96,1
99,1
100,2
110,1
111,1
113,1
114,1
122,1
125,1
126,1
134,1
137,1
140,1
142,1
145,1
146,1
154,1
155,1
161,1
164,1
194,1
204,1
220,1
