InputTransactionIndex,OutputTransactionIndex,Value,BackFlowProbability
-1,292989450,1369139491,1.0
292983482,292987304,200840000,1.0
292987304,292988644,167714570,0.460647288623
292984454,292988644,196370000,0.539352711377
292985055,292987157,76999714,1.0
292986051,292987160,17805334654,1.0
292984896,292987159,15065604,1.0
292984464,292988735,59934960,1.0
292982566,292987360,50911923947,1.0
292980445,292989044,169249657,1.0
292973792,292988633,804410153,1.0
292973541,292986816,570052104,1.0
292761140,292988105,5713368,0.453590653697
292983716,292988105,6882500,0.546409346303
290800160,292987394,174381155,0.947503456316
292972114,292987394,9661609,0.0524965436837
292962151,292988796,27549544,1.0
-1,292986832,2000910000,1.0
-1,292989151,971764256,1.0
-1,292987579,10953217,1.0
292986204,292987486,1383354,1.0
292976109,292988225,6928764,1.0
292976933,292988609,7188268,1.0
292949889,292986627,13545600000,1.0
292975876,292988034,6550754,1.0
292982588,292987730,4742604,1.0
292977609,292989284,7282663,1.0
288467076,292987878,110664,0.158466768432
284940150,292987878,587678,0.841533231568
292989044,292989059,205460,1.0
292868781,292987413,800892200,1.0
292986143,292986864,341398877,1.0
292960897,292988816,1943254274,1.0
292945342,292989346,538693950,1.0
292982441,292988316,1755637100,1.0
292977474,292989010,215674178,1.0
292977053,292987189,397664767,1.0
292984693,292987553,1054096044,1.0
292984229,292987210,838134554,1.0
290294824,292988103,227408896,1.0
292980596,292989031,3586330,1.0
292288474,292988298,743440,1.0
292981116,292989228,805339,0.0543951746056
292972431,292989228,14000000,0.945604825394
292984018,292988876,2927481,1.0
292982290,292988248,1592693672,1.0
292984424,292987442,5340392,0.0585224086621
292981715,292987442,85913405,0.941477591338
292985424,292987715,1406098981,1.0
292928649,292988328,170633798,1.0
292177978,292988476,102730,1.0
292177978,292987766,102730,1.0
292177978,292988472,102730,1.0
292177978,292988462,102730,1.0
292177978,292988465,102730,1.0
292177978,292988485,102730,1.0
292967344,292988640,1603300,0.051906944863
292635203,292988640,1902624,0.0615975794069
292616403,292988640,27382043,0.88649547573
287833268,292988437,248328,1.0
292980895,292988543,10964397,1.0
292933494,292987509,12082949,1.0
292598185,292988571,25000000,1.0
292968226,292986714,4592118,1.0
292940831,292987231,7585522,1.0
292985045,292986585,2762886493,1.0
292972668,292986673,891254,0.822240099489
292813365,292986673,192680,0.177759900511
292952432,292986511,21820000,0.837240102082
290663304,292986511,1039857,0.0398996324854
290551194,292986511,3201962,0.122860265433
292984864,292987392,12340578,1.0
290931488,292987783,11893382,0.291907214039
292517776,292987783,5710000,0.1401443418
290511548,292987783,116424,0.00285747195266
292463189,292987783,11570000,0.283970233735
292544351,292987783,11453901,0.281120738474
292973706,292987529,802472028,0.591217216703
292985678,292987529,554849791,0.408782783297
292887484,292988254,120660919,1.0
292984954,292987683,21639275635,1.0
292985682,292988282,38315439856,1.0
292982993,292988682,43380629924,1.0
292986339,292987163,9045501253,1.0
292986232,292986911,8733150626,1.0
292986174,292986809,7825719736,1.0
292985954,292988535,42624060677,1.0
292985178,292987931,24176266955,1.0
292986809,292988968,7823366887,1.0
292977488,292988825,49154334708,1.0
292986480,292987311,13403157527,1.0
292984685,292987380,17807586635,1.0
292983941,292986545,15735162360,1.0
292985440,292988085,29644032967,1.0
292985110,292987863,22533269365,1.0
292985872,292988403,41978361478,1.0
292986103,292986751,1899467876,1.0
292985531,292988146,30152058125,1.0
