distance,flow
47,6.62608405772e-11
48,0.00268383255396
47,5.48950934611e-08
4,9.69544727314e-05
33,1.68604883797e-16
42,0.000144957540355
48,1.675771028e-12
47,3.73616529626e-12
62,1.89980359169e-05
59,5.35930764913e-07
25,2.00762225538e-18
25,1.99024800906e-18
25,2.04433723611e-18
54,2.33256094549e-07
49,2.76447511914e-11
44,6.95158547152e-11
35,1.66120067418e-08
44,3.04685900782e-15
48,1.43992623172e-08
52,2.0347083616e-09
25,2.07878319213e-18
44,2.48112693712e-11
25,2.18158081621e-18
33,3.15220155158e-07
25,2.18619449978e-18
48,9.50763722733e-13
48,3.34454638012e-10
50,6.4162176575e-09
37,1.72471211923e-06
48,9.33080058065e-09
48,9.75843939775e-11
49,6.36918013062e-09
71,1.08567287812e-07
31,6.87384270004e-08
36,4.08310758061e-10
45,1.90473174857e-06
48,4.10357864438e-12
60,0.00041887834328
31,2.07360690484e-10
50,4.38221896444e-07
23,8.57205951397e-29
34,1.34364348498e-10
18,1.0954800727e-06
48,8.59492300213e-07
221,5.70224479506e-12
65,4.53541179821e-10
49,7.73152567985e-06
33,1.13267440502e-26
211,6.3818508739e-10
49,0.00022460027885
49,7.73807460514e-06
49,2.13512820492e-17
43,5.65606422523e-05
33,4.51745163368e-14
25,2.08453138805e-18
40,4.42839522576e-13
64,7.04471881143e-09
31,2.94503177423e-13
49,7.71094909612e-06
49,7.7437104973e-06
49,7.74986728434e-06
49,4.78374023947e-23
217,8.587558716e-09
16,3.40462672092e-18
53,2.26911775034e-14
221,4.56179583604e-12
12,6.48843714633e-14
46,2.43231649943e-11
54,0.000872330944201
33,1.28749117491e-16
25,2.24809565475e-18
38,3.27263972593e-14
49,1.00950075308e-21
208,4.19520541997e-07
63,5.61760304008e-10
11,4.72713340433e-10
52,9.37914530193e-10
38,1.49139786013e-13
60,2.1730976859e-09
32,2.50518290512e-23
57,0.000343775248455
40,1.01679892848e-10
33,1.55178862987e-11
56,1.9265273582e-07
55,4.99843803533e-10
47,9.03508484219e-11
47,1.69816518609e-15
217,1.11615259002e-07
48,1.58590248629e-10
60,3.09729917632e-09
26,1.25061492399e-06
228,4.72471688107e-10
40,2.45659273819e-10
212,9.5295916673e-09
57,1.15215622716e-08
59,9.68054016807e-12
44,1.86182945529e-09
217,4.09397266021e-10
26,2.39017521e-07
57,8.83499954986e-09
4,0.000927621123694
35,5.3331641942e-10
48,1.13590594413e-07
8,2.21517176142e-09
48,5.75615027545e-10
37,2.22485991551e-16
43,1.35568764551e-20
31,3.77580481484e-11
55,3.39257359619e-10
43,4.0859151742e-15
36,6.02404615497e-10
48,1.68667208811e-10
32,0.000221224465109
60,4.67952931294e-09
46,5.55105885807e-09
52,2.15899491079e-07
49,8.88702714747e-22
51,1.97341085062e-09
18,5.01093302263e-14
49,8.88345164895e-22
35,5.3331641942e-10
17,7.03072221901e-08
49,6.48884316749e-21
43,1.51387702653e-09
29,1.91142828112e-40
74,1.84235832154e-07
228,8.64614440407e-11
221,7.31831528216e-10
48,2.45073888346e-10
78,1.49995696549e-06
45,9.99858521311e-06
36,6.16547618163e-07
51,3.59974836534e-10
41,7.51841793972e-13
28,2.24924753761e-10
27,6.44772790339e-09
55,1.24058847121e-06
27,1.9445016172e-28
21,7.14930818362e-15
48,7.10939800008e-07
17,1.73554309964e-11
21,4.8009114963e-14
33,8.93075028907e-08
30,2.71495101294e-09
23,2.88853266651e-12
217,3.96488821602e-09
49,3.88339032064e-06
33,3.17301888925e-10
50,2.9336812613e-24
49,7.08636961337e-13
56,4.12880189714e-09
50,6.34778214738e-21
30,5.69628113584e-39
53,3.63798983719e-11
48,0.000116105432619
34,4.62750230523e-11
22,4.21461229996e-09
56,3.6576840253e-10
47,3.62019601075e-07
36,4.16518226851e-25
13,1.18063377327e-14
29,4.67192006175e-08
16,6.33571211072e-13
210,3.47186636172e-10
34,5.0357065946e-09
31,1.12307378569e-10
50,8.67062090602e-08
31,1.61410706654e-13
26,3.25204796699e-13
49,1.03018710737e-13
26,1.96493217626e-18
50,1.61540878551e-16
38,3.69372028533e-12
35,5.3331641942e-10
34,8.21812105937e-14
28,1.26514451613e-09
49,7.00882426022e-09
31,7.53495994695e-12
44,1.92446763406e-08
63,1.42669870663e-09
22,1.22212649302e-09
33,1.95824487569e-16
19,3.62916857741e-14
50,5.75720918491e-11
35,2.59949742794e-11
36,7.73490362811e-10
214,2.24176752291e-10
31,2.50257734237e-09
47,2.33332098147e-10
50,7.74926826298e-06
47,1.47397957277e-11
26,1.1499309228e-18
24,8.73111003619e-14
32,4.3168583504e-10
36,1.30465282761e-11
9,2.5600133301e-10
52,5.83128251658e-09
47,4.29748609924e-10
34,1.36369408383e-17
222,9.00681512323e-09
18,2.56328152136e-16
211,4.77545075713e-07
48,4.24717195163e-09
38,2.50582574006e-25
47,2.53039754361e-10
49,5.15544904731e-05
42,4.43586658444e-13
49,2.69324334145e-07
33,1.61555202245e-16
12,7.5552220008e-13
35,4.71716483494e-10
229,4.75065395278e-09
36,1.90581106616e-11
43,1.03754167568e-12
223,1.68559951477e-09
35,5.3331641942e-10
43,7.76580243341e-11
13,1.18696667473e-14
32,8.89952590536e-10
47,4.15706897203e-10
46,2.2384564356e-06
105,7.89586006829e-09
47,1.73420258901e-10
49,0.00142910709177
105,8.58245659597e-08
33,1.83450631936e-16
35,4.77670357662e-10
44,3.34263978057e-10
221,2.04682247708e-08
37,4.07956264e-10
86,2.85020518847e-07
51,2.85297463125e-07
33,2.02169298878e-16
42,1.73851554698e-17
53,2.58091263849e-08
33,1.4620873089e-16
33,1.69368990947e-16
34,1.36549995147e-17
47,2.54573328631e-11
34,6.59119767974e-17
36,2.09305541549e-10
27,8.37135384634e-08
47,1.89378019312e-11
26,8.64415121067e-27
49,8.49716829182e-12
35,1.15762716421e-16
226,3.92293764866e-10
59,2.56013655751e-13
49,1.94766547253e-12
50,3.71734189967e-10
217,1.2469471367e-08
50,6.33131995347e-22
49,4.39298159847e-06
49,1.11058843722e-06
35,6.11793346411e-13
50,4.38610806942e-10
42,2.07801727234e-09
26,1.85570564885e-18
216,9.01294354319e-06
16,4.2820404312e-07
48,2.57308806862e-07
35,6.05168429042e-13
36,4.46739825161e-10
25,1.75757465871e-08
220,1.16671367298e-09
50,2.31900016134e-10
25,4.4021358166e-13
35,7.6699825861e-10
48,7.61555501001e-11
47,4.22532385742e-16
21,5.79575238228e-21
69,7.77404713082e-06
47,2.32259731611e-08
34,1.38954122446e-17
33,1.82779639329e-16
227,7.02187613742e-09
45,0.000225301645629
45,4.45727287072e-07
50,4.41155556446e-21
47,3.06714853771e-12
36,4.32248613591e-12
47,0.000156279084908
49,1.99554427946e-18
11,5.72131767666e-14
50,1.04626506342e-07
49,4.34217252917e-07
35,7.50443521529e-10
36,9.30783356191e-12
47,1.98232263711e-10
25,8.41573042578e-14
49,5.10489818172e-08
30,3.58393450036e-12
32,8.04285951269e-08
217,3.90842341647e-10
37,6.80802783873e-23
47,3.06714853771e-10
43,7.30092057561e-11
30,3.61452410436e-12
49,1.19962851018e-14
12,2.21888544884e-11
44,2.02134284622e-10
213,1.92969230453e-08
60,3.69761133664e-08
9,1.10579391571e-09
31,1.81495778394e-09
221,3.21239449167e-11
38,5.58995780174e-10
47,0.00247693339031
36,1.75505640461e-09
47,4.39056485591e-10
30,3.65760600041e-12
47,1.92270647099e-10
47,2.76088568721e-07
27,3.34854153854e-08
34,1.4078870328e-07
34,3.89335648411e-16
8,2.46206676355e-11
33,1.61522009994e-16
45,1.15719327855e-07
27,2.31745391235e-07
47,3.11362442777e-10
51,1.1868596252e-07
20,4.37723464924e-22
44,1.72611291045e-07
51,2.00163113393e-07
33,3.20646567631e-10
34,1.39400309041e-17
36,7.63800692159e-10
61,2.58848409752e-08
33,1.94211173145e-10
25,6.23164858227e-14
51,4.07614891989e-10
33,8.50421460468e-10
56,6.6332821557e-15
40,8.41817053907e-07
50,7.13635689073e-12
22,3.92342463432e-09
47,1.51823852617e-10
36,3.02932456858e-09
25,7.14314623618e-10
51,7.00250256021e-11
47,3.48996741719e-07
19,1.38109266203e-12
36,6.30665426577e-11
32,1.39163903279e-07
34,1.36328749959e-17
50,1.11778196237e-09
8,2.54978199798e-11
30,2.18186757425e-09
60,9.29798046176e-10
24,8.94755286385e-12
50,2.25020315981e-11
36,6.08036070102e-13
43,1.23031874137e-08
34,6.13572938075e-08
47,1.71478140447e-10
23,7.69139383508e-16
36,4.69041822221e-10
68,7.77404713082e-06
34,5.69547853602e-11
32,1.13267440502e-26
62,5.61760304008e-10
36,2.22485991551e-16
24,3.71809655707e-12
216,5.01011528786e-08
226,2.95302222984e-07
49,1.32402145402e-21
38,1.6553678407e-07
32,2.16177445999e-10
33,4.77081442408e-21
45,1.19674074407e-09
217,7.5603888465e-10
56,3.02524632737e-11
11,1.13940077321e-09
42,8.74494910155e-07
50,4.18427955314e-09
26,9.00580732461e-08
39,1.93739262967e-08
33,5.2352343152e-10
51,2.15899491079e-07
9,2.50279637535e-08
35,7.85613110067e-10
49,3.73702540409e-10
221,9.02929937174e-07
23,5.7527893552e-25
42,1.79071508841e-06
220,1.10439712223e-05
32,2.08468979897e-13
22,6.72870336207e-19
23,7.07296297767e-07
11,5.94413086049e-07
49,1.79452244629e-20
33,3.20337851441e-13
49,8.37613579415e-24
49,3.41425050075e-23
48,1.61182380409e-10
221,9.28402892825e-08
33,1.49403486916e-11
51,1.71062659308e-13
40,9.19507572235e-15
47,2.09704392987e-09
221,1.13635807764e-10
43,4.44097584305e-07
36,3.44713540176e-06
49,7.86207880578e-22
222,1.60309393315e-07
33,7.42779968978e-11
49,1.52578741284e-09
25,2.27646926846e-18
53,7.92688260222e-10
48,7.81320734351e-11
49,2.83952023883e-22
37,3.38276521931e-08
35,9.49925625496e-10
42,2.40756718213e-07
29,1.22464012164e-13
16,1.5229976461e-10
51,3.79792871636e-10
10,3.19514078322e-13
41,1.9309856791e-06
76,1.49719849107e-10
35,5.05447107271e-17
38,1.93103202728e-05
45,9.6653549862e-10
116,2.12143244963e-07
32,0.000140048448373
230,5.52102039628e-07
48,2.88387508338e-11
210,5.59103092599e-11
37,1.93103202728e-05
39,5.81785365625e-09
51,3.13614969889e-08
225,6.54162791284e-08
32,1.62316446411e-13
26,0.000126523032298
223,1.12936077541e-08
39,1.48730073176e-08
51,2.41339062485e-09
